"","COUNTY","DATE","Population","death_est_total_inf","death_inf_vacc_obs_imm_lower","N","I","R","S"
"23403","Moore",2021-08-18,97294,0,48.6236854137818,97294,0,47307.9284864849,49986.0715135151
"23404","Moore",2021-08-19,97294,615.384615384615,48.7030930618036,97294,615.384615384615,46769.8027481665,49908.8126364488
"23405","Moore",2021-08-20,97294,0,48.7733936852672,97294,0,47453.5856521439,49840.4143478561
"23406","Moore",2021-08-21,97294,0,48.8421764713061,97294,0,47520.5071759926,49773.4928240074
"23407","Moore",2021-08-22,97294,0,48.9088342849451,97294,0,47585.3612291945,49708.6387708055
"23408","Moore",2021-08-23,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23409","Moore",2021-08-24,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23410","Moore",2021-08-25,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23411","Moore",2021-08-26,97294,461.538461538462,48.9723046399876,97294,461.538461538462,47185.5756148911,49646.8859235704
"23412","Moore",2021-08-27,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23413","Moore",2021-08-28,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23414","Moore",2021-08-29,97294,307.692307692308,48.9723046399876,97294,307.692307692308,47339.4217687373,49646.8859235704
"23415","Moore",2021-08-30,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23416","Moore",2021-08-31,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23417","Moore",2021-09-01,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23418","Moore",2021-09-02,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23419","Moore",2021-09-03,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23420","Moore",2021-09-04,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23421","Moore",2021-09-05,97294,153.846153846154,48.9723046399876,97294,153.846153846154,47493.2679225834,49646.8859235704
"23422","Moore",2021-09-06,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23423","Moore",2021-09-09,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23424","Moore",2021-09-12,97294,307.692307692308,48.9723046399876,97294,307.692307692308,47339.4217687373,49646.8859235704
"23425","Moore",2021-09-16,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23426","Moore",2021-09-19,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23427","Moore",2021-09-23,97294,461.538461538462,48.9723046399876,97294,461.538461538462,47185.5756148911,49646.8859235704
"23428","Moore",2021-09-26,97294,153.846153846154,48.9723046399876,97294,153.846153846154,47493.2679225834,49646.8859235704
"23429","Moore",2021-09-30,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23430","Moore",2021-10-03,97294,153.846153846154,48.9723046399876,97294,153.846153846154,47493.2679225834,49646.8859235704
"23431","Moore",2021-10-07,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23432","Moore",2021-10-10,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23433","Moore",2021-10-14,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23434","Moore",2021-10-17,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23435","Moore",2021-10-21,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23436","Moore",2021-10-24,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23437","Moore",2021-10-28,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23438","Moore",2021-10-31,97294,153.846153846154,48.9723046399876,97294,153.846153846154,47493.2679225834,49646.8859235704
"23439","Moore",2021-11-04,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23440","Moore",2021-11-07,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23441","Moore",2021-11-11,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23442","Moore",2021-11-14,97294,153.846153846154,48.9723046399876,97294,153.846153846154,47493.2679225834,49646.8859235704
"23443","Moore",2021-11-18,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23444","Moore",2021-11-21,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23445","Moore",2021-11-28,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23446","Moore",2021-12-05,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23447","Moore",2021-12-12,97294,0,48.9723046399876,97294,0,47647.1140764296,49646.8859235704
"23448","Nash",2020-02-23,94030,0,0,94030,0,0,94030
"23449","Nash",2020-02-27,94030,0,0,94030,0,0,94030
"23450","Nash",2020-03-01,94030,153.846153846154,0.163613903909554,94030,153.846153846154,0,93876.1538461538
"23451","Nash",2020-03-05,94030,0,0.163613903909554,94030,0,153.846153846154,93876.1538461538
"23452","Nash",2020-03-08,94030,0,0.163613903909554,94030,0,153.846153846154,93876.1538461538
"23453","Nash",2020-03-12,94030,0,0.163613903909554,94030,0,153.846153846154,93876.1538461538
"23454","Nash",2020-03-15,94030,0,0.163613903909554,94030,0,153.846153846154,93876.1538461538
"23455","Nash",2020-03-19,94030,0,0.163613903909554,94030,0,153.846153846154,93876.1538461538
"23456","Nash",2020-03-22,94030,307.692307692308,0.490841711728663,94030,307.692307692308,153.846153846154,93568.4615384615
"23457","Nash",2020-03-26,94030,0,0.490841711728663,94030,0,461.538461538461,93568.4615384615
"23458","Nash",2020-03-29,94030,153.846153846154,0.654455615638217,94030,153.846153846154,461.538461538461,93414.6153846154
"23459","Nash",2020-04-02,94030,0,0.654455615638217,94030,0,615.384615384615,93414.6153846154
"23460","Nash",2020-04-05,94030,0,0.654455615638217,94030,0,615.384615384615,93414.6153846154
"23461","Nash",2020-04-09,94030,0,0.654455615638217,94030,0,615.384615384615,93414.6153846154
"23462","Nash",2020-04-12,94030,0,0.654455615638217,94030,0,615.384615384615,93414.6153846154
"23463","Nash",2020-04-16,94030,0,0.654455615638217,94030,0,615.384615384615,93414.6153846154
"23464","Nash",2020-04-19,94030,153.846153846154,0.818069519547771,94030,153.846153846154,615.384615384615,93260.7692307692
"23465","Nash",2020-04-23,94030,0,0.818069519547771,94030,0,769.230769230769,93260.7692307692
"23466","Nash",2020-04-26,94030,0,0.818069519547771,94030,0,769.230769230769,93260.7692307692
"23467","Nash",2020-04-30,94030,0,0.818069519547771,94030,0,769.230769230769,93260.7692307692
"23468","Nash",2020-05-03,94030,0,0.818069519547771,94030,0,769.230769230769,93260.7692307692
"23469","Nash",2020-05-07,94030,0,0.818069519547771,94030,0,769.230769230769,93260.7692307692
"23470","Nash",2020-05-10,94030,0,0.818069519547771,94030,0,769.230769230769,93260.7692307692
"23471","Nash",2020-05-14,94030,0,0.818069519547771,94030,0,769.230769230769,93260.7692307692
"23472","Nash",2020-05-17,94030,0,0.818069519547771,94030,0,769.230769230769,93260.7692307692
"23473","Nash",2020-05-21,94030,0,0.818069519547771,94030,0,769.230769230769,93260.7692307692
"23474","Nash",2020-05-24,94030,307.692307692308,1.14529732736688,94030,307.692307692308,769.230769230769,92953.0769230769
"23475","Nash",2020-05-28,94030,0,1.14529732736688,94030,0,1076.92307692308,92953.0769230769
"23476","Nash",2020-05-31,94030,153.846153846154,1.30891123127643,94030,153.846153846154,1076.92307692308,92799.2307692308
"23477","Nash",2020-06-04,94030,0,1.30891123127643,94030,0,1230.76923076923,92799.2307692308
"23478","Nash",2020-06-07,94030,307.692307692308,1.63613903909554,94030,307.692307692308,1230.76923076923,92491.5384615385
"23479","Nash",2020-06-11,94030,0,1.63613903909554,94030,0,1538.46153846154,92491.5384615385
"23480","Nash",2020-06-14,94030,307.692307692308,1.96336684691465,94030,307.692307692308,1538.46153846154,92183.8461538462
"23481","Nash",2020-06-18,94030,0,1.96336684691465,94030,0,1846.15384615385,92183.8461538462
"23482","Nash",2020-06-21,94030,307.692307692308,2.29059465473376,94030,307.692307692308,1846.15384615385,91876.1538461538
"23483","Nash",2020-06-25,94030,0,2.29059465473376,94030,0,2153.84615384615,91876.1538461538
"23484","Nash",2020-06-28,94030,0,2.29059465473376,94030,0,2153.84615384615,91876.1538461538
"23485","Nash",2020-07-02,94030,0,2.29059465473376,94030,0,2153.84615384615,91876.1538461538
"23486","Nash",2020-07-05,94030,307.692307692308,2.61782246255287,94030,307.692307692308,2153.84615384615,91568.4615384615
"23487","Nash",2020-07-09,94030,769.230769230769,3.43589198210064,94030,769.230769230769,2461.53846153846,90799.2307692308
"23488","Nash",2020-07-12,94030,153.846153846154,3.59950588601019,94030,153.846153846154,3230.76923076923,90645.3846153846
"23489","Nash",2020-07-16,94030,461.538461538462,4.09034759773886,94030,461.538461538462,3384.61538461538,90183.8461538461
"23490","Nash",2020-07-19,94030,0,4.09034759773886,94030,0,3846.15384615385,90183.8461538462
"23491","Nash",2020-07-23,94030,923.076923076923,5.07203102119618,94030,923.076923076923,3846.15384615385,89260.7692307692
"23492","Nash",2020-07-26,94030,307.692307692308,5.39925882901529,94030,307.692307692308,4769.23076923077,88953.0769230769
"23493","Nash",2020-07-30,94030,153.846153846154,5.56287273292484,94030,153.846153846154,5076.92307692308,88799.2307692308
"23494","Nash",2020-08-02,94030,153.846153846154,5.7264866368344,94030,153.846153846154,5230.76923076923,88645.3846153846
"23495","Nash",2020-08-06,94030,1076.92307692308,6.87178396420128,94030,1076.92307692308,5384.61538461538,87568.4615384615
"23496","Nash",2020-08-09,94030,153.846153846154,7.03539786811083,94030,153.846153846154,6461.53846153846,87414.6153846154
